Binomial,bm_g,bs_cm,,,,
Norops_crassulus,5.13,0.71,,,,
Norops_cumingii,2.81,0.45,,,,
Norops_cupreus,4.58,0.66,,,,
Norops_cuprinus,8.52,0.93,,,,
Norops_cusuco,2.29,0.36,,,,
Norops_cymbops,1.45,0.16,,,,
Norops_damulus,3.40,0.53,,,,
Norops_delafuentei,5.71,0.76,,,,
Norops_dollfusianus,1.98,0.30,,,,
Norops_duellmani,1.13,0.05,,,,
Norops_dunni,4.85,0.69,,,,
Norops_exsul,2.63,0.42,,,,
Norops_fortunensis,2.63,0.42,,,,
Norops_fungosus,2.45,0.39,,,,
Norops_fuscoauratus,3.10,0.49,,,,
Norops_gadovii,13.76,1.14,,,,
Norops_garmani,80.65,1.91,,,,
Norops_gibbiceps,2.81,0.45,,,,
Norops_gracilipes,4.08,0.61,,,,
Norops_grahami,11.16,1.05,,,,
Norops_granuliceps,2.81,0.45,,,,
Norops_guafe,2.77,0.44,,,,
Norops_guazuma,2.72,0.43,,,,
Norops_haguei,3.62,0.56,,,,
Norops_hobartsmithi,2.81,0.45,,,,
Norops_homolechis,8.93,0.95,,,,
Norops_humilis,2.13,0.33,,,,
Norops_imias,7.89,0.90,,,,
Norops_intermedius,3.85,0.59,,,,
Norops_isthmicus,6.34,0.80,,,,
Norops_johnmeyeri,9.09,0.96,,,,
Norops_jubar,6.02,0.78,,,,
Norops_kemptoni,4.08,0.61,,,,
Norops_kreutzi,3.20,0.51,,,,
Norops_laeviventris,7.38,0.87,,,,
Norops_lemniscatus,3.40,0.53,,,,
Norops_lemurinus,13.21,1.12,,,,
Norops_limifrons,3.20,0.51,,,,
Norops_lineatopus,10.23,1.01,,,,
Norops_lineatus,11.16,1.05,,,,
Norops_liogaster,3.30,0.52,,,,
Norops_lionotus,16.75,1.22,,,,
Norops_loveridgei,48.54,1.69,,,,
Norops_lynchi,5.71,0.76,,,,
Norops_macrinii,16.75,1.22,,,,
Norops_macrolepis,6.02,0.78,,,,
Norops_macrophallus,3.85,0.59,,,,
Norops_maculiventris,3.00,0.48,,,,
Norops_mariarum,3.37,0.53,,,,
Norops_matudai,1.70,0.23,,,,
Norops_medemi,3.40,0.53,,,,
Norops_megapholidotus,3.62,0.56,,,,
Norops_meridionalis,3.20,0.51,,,,
Norops_mestrei,4.46,0.65,,,,
Norops_microlepidotus,3.85,0.59,,,,
Norops_microlepis,1.45,0.16,,,,
Norops_milleri,4.58,0.66,,,,
Norops_muralla,4.33,0.64,,,,
Norops_naufragus,3.62,0.56,,,,
Norops_nebuloides,4.20,0.62,,,,
Norops_nebulosus,3.00,0.48,,,,
Norops_nitens,16.75,1.22,,,,
Norops_notopholis,3.40,0.53,,,,
Norops_ocelloscapularis,2.45,0.39,,,,
Norops_omiltemanus,1.98,0.30,,,,
Norops_onca,11.16,1.05,,,,
Norops_opalinus,4.33,0.64,,,,
Norops_ophiolepis,1.43,0.16,,,,
Norops_ortonii,4.58,0.66,,,,
Norops_pachypus,3.85,0.59,,,,
Norops_pandoensis,5.41,0.73,,,,
Norops_parvicirculatus,3.00,0.48,,,,
Norops_pentaprion,13.76,1.14,,,,
Norops_petersii,36.42,1.56,,,,
Norops_pijolense,5.41,0.73,,,,
Norops_pinchoti,4.58,0.66,,,,
Norops_poecilopus,10.69,1.03,,,,
Norops_polylepis,4.58,0.66,,,,
Norops_polyrhachis,3.00,0.48,,,,
Norops_purpurgularis,5.41,0.73,,,,
Norops_pygmaeus,0.94,-0.03,,,,
Norops_quadriocellifer,4.08,0.61,,,,
Norops_quercorum,2.29,0.36,,,,
Norops_reconditus,28.38,1.45,,,,
Norops_rhombifer,4.08,0.61,,,,
Norops_rivalis,6.67,0.82,,,,
Norops_roatanensis,6.34,0.80,,,,
Norops_rodriguezi,3.00,0.48,,,,
Norops_rubribarbaris,4.85,0.69,,,,
Norops_rubribarbus,7.34,0.87,,,,
Norops_sagrei,11.16,1.05,,,,
Norops_salvini,4.58,0.66,,,,
Norops_scapularis,1.84,0.26,,,,
Norops_schiedei,3.00,0.48,,,,
Norops_schmidti,2.13,0.33,,,,
Norops_sericeus,3.40,0.53,,,,
Norops_serranoi,16.75,1.22,,,,
Norops_simmonsi,2.81,0.45,,,,
Norops_sminthus,5.13,0.71,,,,
Norops_subocularis,6.34,0.80,,,,
Norops_sulcifrons,6.67,0.82,,,,
Norops_taylori,12.68,1.10,,,,
Norops_tolimensis,5.41,0.73,,,,
Norops_townsendi,8.52,0.93,,,,
Norops_trachyderma,5.71,0.76,,,,
Norops_tropidogaster,6.34,0.80,,,,
Norops_tropidolepis,5.13,0.71,,,,
Norops_tropidonotus,7.02,0.85,,,,
Norops_uniformis,1.45,0.16,,,,
Norops_utilensis,5.13,0.71,,,,
Norops_valencienni,17.40,1.24,,,,
Norops_vicarius,2.45,0.39,,,,
Norops_villai,5.41,0.73,,,,
Norops_vittigerus,9.78,0.99,,,,
Norops_vociferans,6.67,0.82,,,,
Norops_wampuensis,3.20,0.51,,,,
Norops_wermuthi,3.85,0.59,,,,
Norops_woodi,28.38,1.45,,,,
Norops_yoroensis,2.45,0.39,,,,
Norops_zeus,1.98,0.30,,,,
Northiella_haematogaster,85.15,1.93,,,,
Northiella_haematogaster_haematogaster,97.50,1.99,,,,
Northiella_haematogaster_haematorrhous,100.00,2.00,,,,
Notacanthus_bonaparte,114.00,2.06,,,,
Notacanthus_chemnitzii,4500.00,3.65,,,,
Notaden_bennettii,17.29,1.24,,,,
Notaden_melanoscaphus,8.91,0.95,,,,
Notaden_nichollsi,19.41,1.29,,,,
Notaden_weigeli,14.50,1.16,,,,
Notharchus_hyperrhynchus,102.34,2.01,,,,
Notharchus_macrorhynchos,105.76,2.02,,,,
Notharchus_ordii,53.19,1.73,,,,
Notharchus_pectoralis,69.10,1.84,,,,
Notharchus_swainsoni,84.75,1.93,,,,
Notharchus_tectus,27.87,1.45,,,,
Nothobachia_ablephara,2.55,0.41,,,,
Nothocercus_bonapartei,858.67,2.93,,,,
Nothocercus_julius,674.50,2.83,,,,
Nothocercus_nigrocapillus,586.00,2.77,,,,
Nothocrax_urumutum,1625.00,3.21,,,,
Nothoprocta_cinerascens,536.28,2.73,,,,
Nothoprocta_curvirostris,377.33,2.58,,,,
Nothoprocta_ornata,675.82,2.83,,,,
Nothoprocta_pentlandii,302.74,2.48,,,,
Nothoprocta_pentlandii_doeringi,330.00,2.52,,,,
Nothoprocta_pentlandii_mendozae,384.00,2.58,,,,
Nothoprocta_perdicaria,458.00,2.66,,,,
Nothoprocta_taczanowskii,475.31,2.68,,,,
Nothopsis_rugosus,30.64,1.49,,,,
Nothropus_spp.,100000.00,5.00,,,,
Nothrotheriops_shastense,300798.07,5.48,,,,
Nothrotherium_spp.,150000.00,5.18,,,,
Nothura_boraquira,301.83,2.48,,,,
Nothura_chacoensis,238.10,2.38,,,,
Nothura_darwinii,245.10,2.39,,,,
Nothura_darwinii_darwinii,265.00,2.42,,,,
Nothura_darwinii_salvadorii,318.50,2.50,,,,
Nothura_maculosa,253.80,2.40,,,,
Nothura_maculosa_annectens,329.00,2.52,,,,
Nothura_maculosa_maculosa,304.00,2.48,,,,
Nothura_minor,168.60,2.23,,,,
Notiochelidon_cyanoleuca,10.62,1.03,,,,
Notiochelidon_flavipes,10.26,1.01,,,,
Notiochelidon_murina,11.70,1.07,,,,
Notiochelidon_pileata,12.52,1.10,,,,
Notiomastodon_spp.,6193000.00,6.79,,,,
Notiomys_edwardsii,21.31,1.33,,,,
Notiomystis_cincta,82.95,1.92,,,,
Notiosorex_cockrumi,4.82,0.68,,,,
Notiosorex_crawfordi,3.70,0.57,,,,
Notiosorex_evotis,5.08,0.71,,,,
Notiosorex_villai,4.82,0.68,,,,
Notochelys_platynota,4364.33,3.64,,,,
Notolabrus_celidotus,255.05,2.41,,,,
Notolabrus_fucicola,1078.44,3.03,,,,
Notolabrus_tetricus,2398.08,3.38,,,,
Notomabuya_frenata,8.00,0.90,,,,
Notomys_alexis,26.46,1.42,,,,
Notomys_amplus,89.87,1.95,,,,
Notomys_aquilo,38.99,1.59,,,,
Notomys_cervinus,31.65,1.50,,,,
Notomys_fuscus,36.15,1.56,,,,
Notomys_longicaudatus,100.00,2.00,,,,
Notomys_macrotis,89.87,1.95,,,,
Notomys_mitchellii,50.01,1.70,,,,
Notomys_mordax,89.87,1.95,,,,
Notomys_spp1,500.47,2.70,,,,
Notopholia_corrusca,54.00,1.73,,,,
Notophthalmus_perstriatus,0.62,-0.21,,,,
Notophthalmus_viridescens,3.90,0.59,,,,
Notopteris_macdonaldi,66.35,1.82,,,,
Notopteris_neocaledonica,66.66,1.82,,,,
Notoryctes_caurinus,34.00,1.53,,,,
Notoryctes_typhlops,54.99,1.74,,,,
Notorynchus_cepedianus,64585.00,4.81,,,,
Notoscincus_butleri,1.31,0.12,,,,
Notoscincus_ornatus,1.03,0.01,,,,
Notoscopelus_caudispinosus,9.00,0.95,,,,
Notoscopelus_elongatus,26.30,1.42,,,,
Notothenia_rossii,3504.00,3.54,,,,
Nototherium_mitchelli,500395.74,5.70,,,,
Notropis_atherinoides,16.09,1.21,,,,
Notropis_cahabae,4.34,0.64,,,,
Notropis_hudsonius,30.49,1.48,,,,
Noturus_flavus,23.20,1.37,,,,
Noturus_gyrinus,26.49,1.42,,,,
Nuchequula_gerreoides,137.79,2.14,,,,
Nucifraga_caryocatactes,177.48,2.25,,,,
Nucifraga_caryocatactes_interdicta,210.00,2.32,,,,
Nucifraga_caryocatactes_macrorhynchos,187.00,2.27,,,,
Nucifraga_caryocatactes_multipunctata,177.00,2.25,,,,
Nucifraga_columbiana,131.77,2.12,,,,
Nucifraga_multipunctata,180.00,2.26,,,,
Nucras_boulengeri,6.61,0.82,,,,
Nucras_caesicaudata,6.61,0.82,,,,
Nucras_holubi,6.92,0.84,,,,
Nucras_intertexta,13.77,1.14,,,,
Nucras_lalandii,31.49,1.50,,,,
Nucras_livida,15.56,1.19,,,,
Nucras_ornata,6.92,0.84,,,,
Nucras_scalaris,17.38,1.24,,,,
Nucras_taeniolata,15.33,1.19,,,,
Nucras_tessellata,14.30,1.16,,,,
Numenius_americanus,631.88,2.80,,,,
Numenius_arquata,837.18,2.92,,,,
Numenius_borealis,386.90,2.59,,,,
Numenius_madagascariensis,879.32,2.94,,,,
Numenius_minutus,182.35,2.26,,,,
Numenius_phaeopus,392.56,2.59,,,,
Numenius_phaeopus_variegatus,404.00,2.61,,,,
Numenius_tahitiensis,436.66,2.64,,,,
Numenius_tenuirostris,325.25,2.51,,,,
Numida_meleagris,1406.05,3.15,,,,
Nyctalus_aviator,30.88,1.49,,,,
Nyctalus_azoreum,14.96,1.17,,,,
Nyctalus_furvus,22.91,1.36,,,,
Nyctalus_lasiopterus,43.19,1.64,,,,
Nyctalus_leisleri,13.38,1.13,,,,
Nyctalus_montanus,18.93,1.28,,,,
Nyctalus_noctula,25.51,1.41,,,,
Nyctalus_plancyi,22.91,1.36,,,,
Nyctanassa_violacea,682.17,2.83,,,,
Nyctea_scandiaca,1665.33,3.22,,,,
Nyctereutes_procyonoides,3004.23,3.48,,,,
Nycteris_arge,10.94,1.04,,,,
Nycteris_aurita,9.92,1.00,,,,
Nycteris_gambiensis,7.18,0.86,,,,
Nycteris_grandis,30.09,1.48,,,,
Nycteris_hispida,8.44,0.93,,,,
Nycteris_intermedia,8.16,0.91,,,,
Nycteris_javanica,17.75,1.25,,,,
Nycteris_macrotis,14.48,1.16,,,,
Nycteris_madagascariensis,17.29,1.24,,,,
Nycteris_major,14.04,1.15,,,,
Nycteris_nana,6.97,0.84,,,,
Nycteris_parisii,9.73,0.99,,,,
Nycteris_thebaica,9.66,0.98,,,,
Nycteris_tragata,14.58,1.16,,,,
Nycteris_vinsoni,16.14,1.21,,,,
Nycteris_woodi,7.59,0.88,,,,
Nyctibius_aethereus,442.65,2.65,,,,
Nyctibius_bracteatus,53.88,1.73,,,,
Nyctibius_grandis,538.67,2.73,,,,
Nyctibius_griseus,181.76,2.26,,,,
Nyctibius_griseus_griseus,187.00,2.27,,,,
Nyctibius_griseus_panamensis,185.00,2.27,,,,
Nyctibius_jamaicensis,241.60,2.38,,,,
Nyctibius_jamaicensis_abbotti,282.00,2.45,,,,
Nyctibius_jamaicensis_mexicanus,262.50,2.42,,,,
Nyctibius_leucopterus,90.27,1.96,,,,
Nyctibius_maculosus,152.85,2.18,,,,
Nycticebus_bengalensis,1126.37,3.05,,,,
Nycticebus_borneanus,470.00,2.67,,,,
Nycticebus_coucang,736.84,2.87,,,,
Nycticebus_javanicus,730.00,2.86,,,,
Nycticebus_kayan,600.00,2.78,,,,
Nycticebus_menagensis,285.00,2.45,,,,
Nycticebus_pygmaeus,521.57,2.72,,,,
Nycticeinops_schlieffeni,5.05,0.70,,,,
Nycticeius_aenobarbus,7.34,0.87,,,,
Nycticeius_balstoni,11.72,1.07,,,,
Nycticeius_cubanus,7.82,0.89,,,,
Nycticeius_greyii,10.00,1.00,,,,
Nycticeius_humeralis,7.83,0.89,,,,
Nycticeius_rueppellii,26.43,1.42,,,,
Nycticeius_sanborni,7.98,0.90,,,,
Nycticeius_schlieffeni,5.00,0.70,,,,
Nycticorax_caledonicus,871.30,2.94,,,,
Nycticorax_nycticorax,811.86,2.91,,,,
Nycticryphes_semicollaris,76.60,1.88,,,,
Nyctidromus_albicollis,55.13,1.74,,,,
Nyctidromus_albicollis_yucatanensis,62.90,1.80,,,,
Nyctidromus_anthonyi,36.80,1.57,,,,
Nyctiellus_lepidus,4.08,0.61,,,,
Nyctimene_aello,84.82,1.93,,,,
Nyctimene_albiventer,29.97,1.48,,,,
Nyctimene_cephalotes,44.70,1.65,,,,
Nyctimene_certans,42.53,1.63,,,,
Nyctimene_cyclotis,47.73,1.68,,,,
Nyctimene_draconilla,29.46,1.47,,,,
Nyctimene_keasti,40.80,1.61,,,,
Nyctimene_major,98.82,1.99,,,,
Nyctimene_malaitensis,76.75,1.89,,,,
Nyctimene_masalai,49.46,1.69,,,,
Nyctimene_minutus,29.39,1.47,,,,
Nyctimene_rabori,67.84,1.83,,,,
Nyctimene_robinsoni,49.14,1.69,,,,
Nyctimene_sanctacrucis,56.71,1.75,,,,
Nyctimene_vizcaccia,39.23,1.59,,,,
Nyctinomops_aurispinosus,18.08,1.26,,,,
Nyctinomops_femorosaccus,14.74,1.17,,,,
Nyctinomops_laticaudatus,11.87,1.07,,,,
Nyctinomops_macrotis,17.44,1.24,,,,
Nyctiphrynus_mcleodii,35.45,1.55,,,,
Nyctiphrynus_ocellatus,40.25,1.60,,,,
Nyctiphrynus_rosenbergi,50.58,1.70,,,,
Nyctiphrynus_yucatanicus,25.03,1.40,,,,
Nyctipolus_nigrescens,36.85,1.57,,,,
Nyctiprogne_leucopyga,27.60,1.44,,,,
Nyctiprogne_vielliardi,41.00,1.61,,,,
Nyctomys_sumichrasti,46.60,1.67,,,,
Nyctophilus_arnhemensis,6.74,0.83,,,,
Nyctophilus_bifax,10.07,1.00,,,,
Nyctophilus_geoffroyi,7.37,0.87,,,,
Nyctophilus_gouldi,9.60,0.98,,,,
Nyctophilus_heran,7.63,0.88,,,,
Nyctophilus_howensis,7.78,0.89,,,,
Nyctophilus_microdon,8.58,0.93,,,,
Nyctophilus_microtis,7.18,0.86,,,,
Nyctophilus_nebulosus,7.78,0.89,,,,
Nyctophilus_timoriensis,11.56,1.06,,,,
Nyctophilus_walkeri,4.38,0.64,,,,
Nyctyornis_amictus,78.47,1.89,,,,
Nyctyornis_athertoni,89.00,1.95,,,,
Nymphicus_hollandicus,95.04,1.98,,,,
Nystalus_chacuru,52.30,1.72,,,,
Nystalus_maculatus,44.08,1.64,,,,
Nystalus_radiatus,61.67,1.79,,,,
Nystalus_striatipectus,41.25,1.62,,,,
Nystalus_striolatus,47.00,1.67,,,,
Oblada_melanura,325.00,2.51,,,,
Ocadia_sinensis,2012.95,3.30,,,,
Occidozyga_martensii,6.00,0.78,,,,
Occidozyga_sumatrana,4.50,0.65,,,,
Oceanites_gracilis,16.77,1.22,,,,
Oceanites_maorianus,30.41,1.48,,,,
Oceanites_oceanicus,33.91,1.53,,,,
Oceanodroma_castro,49.56,1.70,,,,
Oceanodroma_furcata,62.62,1.80,,,,
Oceanodroma_homochroa,38.48,1.59,,,,
Oceanodroma_hornbyi,42.18,1.63,,,,
Oceanodroma_leucorhoa,39.88,1.60,,,,
Oceanodroma_leucorhoa_beali,53.00,1.72,,,,
Oceanodroma_leucorhoa_chapmani,42.00,1.62,,,,
Oceanodroma_leucorhoa_leucorhoa,57.50,1.76,,,,
Oceanodroma_leucorhoa_socorroensis,44.00,1.64,,,,
Oceanodroma_markhami,53.10,1.73,,,,
Oceanodroma_matsudairae,62.00,1.79,,,,
Oceanodroma_melania,64.63,1.81,,,,
Oceanodroma_microsoma,21.10,1.32,,,,
Oceanodroma_monorhis,39.85,1.60,,,,
Oceanodroma_monteiroi,46.14,1.66,,,,
Oceanodroma_tethys,24.62,1.39,,,,
Oceanodroma_tristrami,92.61,1.97,,,,
Ochetorhynchus_andaecola,30.93,1.49,,,,
Ochetorhynchus_certhioides,24.00,1.38,,,,
Ochetorhynchus_harterti,25.00,1.40,,,,
Ochetorhynchus_melanura,40.00,1.60,,,,
Ochetorhynchus_melanurus,40.00,1.60,,,,
Ochetorhynchus_phoenicurus,30.16,1.48,,,,
Ochetorhynchus_ruficaudus,36.34,1.56,,,,
Ochotona_alpina,118.60,2.07,,,,
Ochotona_argentata,146.08,2.16,,,,
Ochotona_cansus,68.75,1.84,,,,
Ochotona_collaris,128.98,2.11,,,,
Ochotona_curzoniae,100.39,2.00,,,,
Ochotona_dauurica,125.84,2.10,,,,
Ochotona_erythrotis,309.90,2.49,,,,
Ochotona_forresti,127.08,2.10,,,,
Ochotona_gaoligongensis,128.26,2.11,,,,
Ochotona_gloveri,259.12,2.41,,,,
Ochotona_himalayana,151.70,2.18,,,,
Ochotona_hoffmanni,146.08,2.16,,,,
Ochotona_huangensis,105.33,2.02,,,,
Ochotona_hyperborea,100.92,2.00,,,,
Ochotona_iliensis,230.12,2.36,,,,
Ochotona_koslowi,319.72,2.50,,,,
Ochotona_ladacensis,168.99,2.23,,,,
Ochotona_macrotis,218.49,2.34,,,,
Ochotona_muliensis,259.13,2.41,,,,
Ochotona_nigritia,142.15,2.15,,,,
Ochotona_nubrica,112.51,2.05,,,,
Ochotona_pallasi,54.54,1.74,,,,
Ochotona_princeps,119.10,2.08,,,,
Ochotona_pusilla,112.22,2.05,,,,
Ochotona_roylei,180.78,2.26,,,,
Ochotona_rufescens,186.51,2.27,,,,
Ochotona_rutila,234.05,2.37,,,,
Ochotona_thibetana,83.10,1.92,,,,
Ochotona_thomasi,111.63,2.05,,,,
Ochotona_turuchanensis,138.58,2.14,,,,
Ochrotomys_nuttalli,17.81,1.25,,,,
Ochthoeca_cinnamomeiventris,12.33,1.09,,,,
Ochthoeca_diadema,12.50,1.10,,,,
Ochthoeca_frontalis,10.00,1.00,,,,
Ochthoeca_fumicolor,17.38,1.24,,,,
Ochthoeca_jelskii,13.51,1.13,,,,
Ochthoeca_leucophrys,13.63,1.13,,,,
Ochthoeca_nigrita,11.95,1.08,,,,
Ochthoeca_oenanthoides,17.70,1.25,,,,
Ochthoeca_piurae,12.56,1.10,,,,
Ochthoeca_pulchella,12.00,1.08,,,,
Ochthoeca_rufipectoralis,10.00,1.00,,,,
Ochthoeca_thoracica,11.95,1.08,,,,
Ochthornis_littoralis,13.93,1.14,,,,
Ocnopus_spp.,300000.00,5.48,,,,
Ocreatus_underwoodii,3.02,0.48,,,,
Octodon_bridgesi,156.43,2.19,,,,
Octodon_degus,163.61,2.21,,,,
Octodon_lunatus,217.34,2.34,,,,
Octodon_pacificus,194.34,2.29,,,,
Octodontomys_gliroides,131.29,2.12,,,,
Octomys_mimax,127.89,2.11,,,,
Oculocincta_squamifrons,6.95,0.84,,,,
Ocyalus_latirostris,97.15,1.99,,,,
Ocyceros_birostris,375.00,2.57,,,,
Ocyceros_gingalensis,238.00,2.38,,,,
Ocyceros_griseus,307.50,2.49,,,,
Ocyphaps_lophotes,222.83,2.35,,,,
Ocyurus_chrysurus,2162.50,3.33,,,,
Odax_pullus,1500.00,3.18,,,,
Odobenus_rosmarus,658249.52,5.82,,,,
Odocoileus_hemionus,46413.25,4.67,,,,
Odocoileus_virginianus,50303.41,4.70,,,,
Odontamblyopus_lacepedii,66.30,1.82,,,,
Odontamblyopus_rubicundus,16.70,1.22,,,,
Odontaspis_ferox,289000.00,5.46,,,,
Odontesthes_bonariensis,1034.91,3.01,,,,
Odontobutis_obscura,51.20,1.71,,,,
Odontophorus_atrifrons,306.50,2.49,,,,
Odontophorus_balliviani,319.11,2.50,,,,
Odontophorus_capueira,426.23,2.63,,,,
Odontophorus_columbianus,341.00,2.53,,,,
Odontophorus_dialeucos,260.67,2.42,,,,
Odontophorus_erythrops,335.83,2.53,,,,
Odontophorus_gujanensis,330.77,2.52,,,,
Odontophorus_guttatus,303.96,2.48,,,,
Odontophorus_hyperythrus,350.08,2.54,,,,
Odontophorus_leucolaemus,283.50,2.45,,,,
Odontophorus_melanonotus,322.00,2.51,,,,
Odontophorus_melanotis,335.83,2.53,,,,
Odontophorus_speciosus,324.50,2.51,,,,
Odontophorus_stellatus,341.70,2.53,,,,
Odontophorus_strophium,302.00,2.48,,,,
Odontorchilus_branickii,9.80,0.99,,,,
Odontorchilus_cinereus,11.00,1.04,,,,
Odontospiza_caniceps,14.10,1.15,,,,
Odonus_niger,1045.00,3.02,,,,
Odorrana_grahami,52.70,1.72,,,,
Odorrana_hosii,47.38,1.68,,,,
Odorrana_swinhoana,72.60,1.86,,,,
Oecomys_auyantepui,70.41,1.85,,,,
Oecomys_bicolor,36.87,1.57,,,,
Oecomys_catherinae,70.41,1.85,,,,
Oecomys_cleberi,73.50,1.87,,,,
Oecomys_concolor,57.10,1.76,,,,
Oecomys_flavicans,73.50,1.87,,,,
Oecomys_mamorae,62.59,1.80,,,,
Oecomys_paricola,73.50,1.87,,,,
Oecomys_phaeotis,73.50,1.87,,,,
Oecomys_rex,73.50,1.87,,,,
Oecomys_roberti,73.50,1.87,,,,
Oecomys_rutilus,73.50,1.87,,,,
Oecomys_speciosus,73.50,1.87,,,,
Oecomys_superans,73.50,1.87,,,,
Oecomys_trinitatis,73.50,1.87,,,,
Oedistoma_iliolophus,11.00,1.04,,,,
Oedistoma_pygmaeum,5.81,0.76,,,,
Oedodera_marmorata,4.81,0.68,,,,
Oedura_castelnaui,15.76,1.20,,,,
Oedura_coggeri,7.57,0.88,,,,
Oedura_filicipoda,23.25,1.37,,,,
Oedura_gemmata,20.18,1.30,,,,
Oedura_gracilis,12.60,1.10,,,,
Oedura_lesueurii,10.57,1.02,,,,
Oedura_marmorata,21.01,1.32,,,,
Oedura_monilis,10.77,1.03,,,,
Oedura_obscura,5.05,0.70,,,,
Oedura_reticulata,7.17,0.86,,,,
Oedura_rhombifer,10.57,1.02,,,,
Oedura_robusta,12.60,1.10,,,,
Oedura_tryoni,12.24,1.09,,,,
Oena_capensis,42.48,1.63,,,,
Oenanthe_albifrons,20.60,1.31,,,,
Oenanthe_alboniger,25.64,1.41,,,,
Oenanthe_albonigra,26.32,1.42,,,,
Oenanthe_bifasciata,24.59,1.39,,,,
Oenanthe_bottae,19.79,1.30,,,,
Oenanthe_chrysopygia,22.70,1.36,,,,
Oenanthe_cypriaca,19.47,1.29,,,,
Oenanthe_deserti,20.91,1.32,,,,
Oenanthe_familiaris,20.80,1.32,,,,
Oenanthe_finschii,28.44,1.45,,,,
Oenanthe_fusca,12.70,1.10,,,,
Oenanthe_heuglini,21.45,1.33,,,,
Oenanthe_hispanica,15.93,1.20,,,,
Oenanthe_isabellina,31.13,1.49,,,,
Oenanthe_leucopyga,30.50,1.48,,,,
Oenanthe_leucura,40.63,1.61,,,,
Oenanthe_lugens,22.88,1.36,,,,
Oenanthe_lugentoides,23.55,1.37,,,,
Oenanthe_lugubris,22.50,1.35,,,,
Oenanthe_melanura,15.20,1.18,,,,
Oenanthe_moesta,31.60,1.50,,,,
Oenanthe_monacha,22.26,1.35,,,,
Oenanthe_monticola,35.30,1.55,,,,
Oenanthe_oenanthe,24.70,1.39,,,,
Oenanthe_oenanthe_leucorhoa,30.60,1.49,,,,
Oenanthe_oenanthe_oenanthe,28.00,1.45,,,,
Oenanthe_phillipsi,24.18,1.38,,,,
Oenanthe_picata,22.84,1.36,,,,
Oenanthe_pileata,30.00,1.48,,,,
Oenanthe_pleschanka,20.79,1.32,,,,
Oenanthe_scotocerca,16.00,1.20,,,,
Oenanthe_xanthoprymna,22.38,1.35,,,,
Oenanthe_xanthoprymna_chrysopygia,27.00,1.43,,,,
Oenomys_hypoxanthus,77.95,1.89,,,,
Oenomys_ornatus,85.44,1.93,,,,
Ognorhynchus_icterotis,285.00,2.45,,,,
Okapia_johnstoni,191399.51,5.28,,,,
Olallamys_albicauda,273.77,2.44,,,,
Olallamys_edax,206.08,2.31,,,,
Oligodon_barroni,34.21,1.53,,,,
Oligodon_dorsalis,63.05,1.80,,,,
Oligodon_fasciolatus,585.15,2.77,,,,
Oligodon_inornatus,99.86,2.00,,,,
Oligodon_joynsoni,203.05,2.31,,,,
Oligodon_mouhoti,24.06,1.38,,,,
Oligodon_purpurascens,269.96,2.43,,,,
Oligodon_taeniatus,32.08,1.51,,,,
Oligodon_taeniolatus,41.82,1.62,,,,
Oligolepis_acutipennis,37.35,1.57,,,,
Oligoplites__saurus,287.00,2.46,,,,
Oligoplites_altus,1580.00,3.20,,,,
Oligoplites_saurus,287.00,2.46,,,,
Oligoryzomys_andinus,25.19,1.40,,,,
Oligoryzomys_arenalis,25.19,1.40,,,,
Oligoryzomys_brendae,23.96,1.38,,,,
Oligoryzomys_chacoensis,22.99,1.36,,,,
Oligoryzomys_delticola,29.41,1.47,,,,
Oligoryzomys_destructor,25.54,1.41,,,,
Oligoryzomys_eliurus,31.99,1.51,,,,
Oligoryzomys_flavescens,21.23,1.33,,,,
Oligoryzomys_fornesi,25.31,1.40,,,,
Oligoryzomys_fulvescens,25.02,1.40,,,,
Oligoryzomys_griseolus,25.19,1.40,,,,
Oligoryzomys_longicaudatus,27.36,1.44,,,,
Oligoryzomys_magellanicus,25.54,1.41,,,,
Oligoryzomys_microtis,23.08,1.36,,,,
Oligoryzomys_nigripes,19.27,1.28,,,,
Oligoryzomys_stramineus,23.96,1.38,,,,
Oligoryzomys_vegetus,20.00,1.30,,,,
Oligoryzomys_victus,23.96,1.38,,,,
Oligosarcus_jenynsii,330.00,2.52,,,,
Oligosoma_acrinasum,12.91,1.11,,,,
Oligosoma_aeneum,2.50,0.40,,,,
Oligosoma_alani,60.00,1.78,,,,
Oligosoma_chloronoton,45.12,1.65,,,,
Oligosoma_fallai,56.47,1.75,,,,
Oligosoma_gracilicorpus,19.82,1.30,,,,
Oligosoma_grande,28.42,1.45,,,,
Oligosoma_homalonotum,69.81,1.84,,,,
Oligosoma_inconspicuum,6.88,0.84,,,,
Oligosoma_infrapunctatum,11.04,1.04,,,,
Oligosoma_lichenigera,4.90,0.69,,,,
Oligosoma_lineoocellatum,17.23,1.24,,,,
Oligosoma_longipes,5.97,0.78,,,,
Oligosoma_maccanni,6.28,0.80,,,,
Oligosoma_macgregori,27.80,1.44,,,,
Oligosoma_microlepis,5.97,0.78,,,,
Oligosoma_moco,8.24,0.92,,,,
Oligosoma_nigriplantare,6.34,0.80,,,,
Oligosoma_notosaurus,8.79,0.94,,,,
Oligosoma_oliveri,11.59,1.06,,,,
Oligosoma_ornatum,8.10,0.91,,,,
Oligosoma_otagense,47.91,1.68,,,,
Oligosoma_pikitanga,15.00,1.18,,,,
