Binomial,bm_g,bs_cm,,,,
Aceros_subruficollis,2156.00,3.33,,,,
Aceros_undulatus,2849.85,3.45,,,,
Aceros_waldeni,1414.90,3.15,,,,
Acestrorhynchus__falcatus,255.00,2.41,,,,
Acestrorhynchus__microlepis,230.00,2.36,,,,
Acestrorhynchus_falcatus,255.00,2.41,,,,
Acestrorhynchus_microlepis,230.00,2.36,,,,
Acestrura_mulsant,4.14,0.62,,,,
Achaetops_pycnopygius,27.97,1.45,,,,
Achalinus_formosanus,34.42,1.54,,,,
Achalinus_rufescens,9.13,0.96,,,,
Achalinus_spinalis,82.05,1.91,,,,
Achalinus_werneri,63.09,1.80,,,,
Achirus_achirus,1000.00,3.00,,,,
Acinixys_planicauda,311.93,2.49,,,,
Acinonyx_jubatus,41087.68,4.61,,,,
Acipenser_baerii,210000.00,5.32,,,,
Acipenser_brevirostrum,23000.00,4.36,,,,
Acipenser_fulvescens,125000.00,5.10,,,,
Acipenser_gueldenstaedtii,115000.00,5.06,,,,
Acipenser_medirostris,159000.00,5.20,,,,
Acipenser_naccarii,25000.00,4.40,,,,
Acipenser_nudiventris,80000.00,4.90,,,,
Acipenser_oxyrinchus,368000.00,5.57,,,,
Acipenser_ruthenus,16000.00,4.20,,,,
Acipenser_schrenckii,190000.00,5.28,,,,
Acipenser_sinensis,600000.00,5.78,,,,
Acipenser_transmontanus,409760.00,5.61,,,,
Acomys_airensis,37.01,1.57,,,,
Acomys_cahirinus,39.03,1.59,,,,
Acomys_chudeaui,37.01,1.57,,,,
Acomys_cilicicus,28.61,1.46,,,,
Acomys_cineraceus,31.14,1.49,,,,
Acomys_dimidiatus,37.01,1.57,,,,
Acomys_ignitus,34.60,1.54,,,,
Acomys_johannis,36.21,1.56,,,,
Acomys_kempi,25.07,1.40,,,,
Acomys_louisae,21.21,1.33,,,,
Acomys_minous,60.11,1.78,,,,
Acomys_mullah,36.97,1.57,,,,
Acomys_nesiotes,36.94,1.57,,,,
Acomys_percivali,21.98,1.34,,,,
Acomys_russatus,46.38,1.67,,,,
Acomys_seurati,37.01,1.57,,,,
Acomys_spinosissimus,26.54,1.42,,,,
Acomys_subspinosus,22.85,1.36,,,,
Acomys_wilsoni,16.30,1.21,,,,
Aconaemys_fuscus,130.90,2.12,,,,
Aconaemys_porteri,117.24,2.07,,,,
Aconaemys_sagei,96.35,1.98,,,,
Acontias_brevipes,203.93,2.31,,,,
Acontias_gariepensis,4.02,0.60,,,,
Acontias_gracilicauda,485.48,2.69,,,,
Acontias_kgalagadi,4.80,0.68,,,,
Acontias_meleagris,294.83,2.47,,,,
Acontias_orientalis,7.30,0.86,,,,
Acontias_percivali,467.54,2.67,,,,
Acontias_plumbeus,4050.03,3.61,,,,
Acontias_poecilus,1691.27,3.23,,,,
Acontophiops_lineatus,160.96,2.21,,,,
Acrantophis_dumerili,10591.91,4.02,,,,
Acrantophis_madagascariensis,25251.62,4.40,,,,
Acratosaura_mentalis,2.28,0.36,,,,
Acreichthys_tomentosus,122.39,2.09,,,,
Acridotheres_albocinctus,93.56,1.97,,,,
Acridotheres_cinereus,89.28,1.95,,,,
Acridotheres_cristatellus,120.55,2.08,,,,
Acridotheres_fuscus,88.60,1.95,,,,
Acridotheres_ginginianus,73.00,1.86,,,,
Acridotheres_grandis,98.98,2.00,,,,
Acridotheres_javanicus,85.00,1.93,,,,
Acridotheres_tristis,122.89,2.09,,,,
Acris_blanchardi,3.80,0.58,,,,
Acris_crepitans,1.69,0.23,,,,
Acris_gryllus,2.02,0.31,,,,
Acritillas_indica,32.28,1.51,,,,
Acrobates_pygmaeus,10.62,1.03,,,,
Acrobatornis_fonsecai,14.10,1.15,,,,
Acrocephalus_aedon,26.97,1.43,,,,
Acrocephalus_aequinoctialis,25.00,1.40,,,,
Acrocephalus_agricola,10.30,1.01,,,,
Acrocephalus_arundinaceus,32.90,1.52,,,,
Acrocephalus_astrolabii,32.23,1.51,,,,
Acrocephalus_atyphus,31.21,1.49,,,,
Acrocephalus_australis,21.57,1.33,,,,
