"Order","Family","Genus","Best_guess_binomial","Adult_svl_cm","Body_mass_g","Maturity_d","Max_longevity_d","Longevity_d","Litter_clutch_size","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Note"
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus aegyptius",NA,3.30947228776305,NA,NA,NA,2.49988485108925,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus ahmaddisii",NA,11.1971894173358,NA,NA,NA,NA,NA,"Other",2,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus arabicus",NA,14.8,365.28,NA,NA,5.50023626433817,"Carnivore","Other",3,FALSE,0,1,1,0,0,0,0,1,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus aureus",NA,8.09547949589191,NA,NA,NA,NA,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus bedriagai",6.071,10.5681750921366,NA,1461,1004.4375,5,NA,"Other",1,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus beershebensis",9,16.7,365.28,1680.15,NA,4.9,"Carnivore","Other",1,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus blanci",NA,19.6168013841802,NA,NA,NA,5,"Carnivore","Other",4,FALSE,1,0,1,0,0,0,0,0,0,1,1,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus blanfordii",NA,9.78618610477905,365.28,NA,NA,4.00018425523063,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus boskianus",6.046,13.95,273.96,1935.825,584.4,4.5,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus boueti",NA,5.8239504207224,NA,NA,NA,NA,NA,NA,2,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus busacki",NA,9.27349086969111,NA,NA,NA,NA,NA,"Other",3,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus dumerilii",7.5,7.1,213.08,803.55,1059.225,1.50003019045595,"Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus erythrurus",7.149,13.6886441279792,426.16,767.025,NA,3.85,"Carnivore","Other",4,FALSE,1,0,1,0,0,1,0,0,0,0,1,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus felicis",NA,6.40604788292581,NA,NA,NA,NA,"Carnivore","Other",2,FALSE,0,0,1,0,0,0,0,0,0,1,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus gongrorhynchatus",NA,6.40604788292581,NA,NA,NA,NA,"Carnivore","Other",1,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus grandis",NA,24.9229736347148,NA,NA,NA,NA,"Carnivore","Other",2,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus guineensis",NA,5.07912331001557,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SQUAMATA","LACERTIDAE","Acanthodactylus","Acanthodactylus haasi",NA,6.40604788292581,NA,NA,NA,NA,"Carnivore","Other",2,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0,NA
